Odell Beckham Jr.,3.7,FA
John Metchie III,3.7,HOU
Malachi Corley,3.7,NYJ
Kaden Prather,3.5,BUF
Chase Claypool,3.5,FA
Nick Nash,3.5,ATL
KJ Hamler,3.5,BUF
Tyler Johnson,3.5,NYJ
Lil'Jordan Humphrey,3.5,NYG
Justin Shorter,3.5,LV
Tylan Wallace,3.5,BAL
