Lamar Jackson,20,BAL
Josh Allen,18.8,BUF
Jayden Daniels,18.5,WAS
Joe Burrow,18.1,CIN
Jalen Hurts,18.1,PHI
Patrick Mahomes II,17.5,KC
Kyler Murray,17,ARI
Baker Mayfield,17,TB
Justin Fields,16.4,NYJ
Bo Nix,16.4,DEN
Caleb Williams,16.2,CHI
Brock Purdy,16.1,SF
Dak Prescott,15.8,DAL
Jared Goff,15.7,DET
Justin Herbert,15.4,LAC
Drake Maye,15.4,NE
Jordan Love,15.3,GB
C.J. Stroud,15.3,HOU
J.J. McCarthy,15.2,MIN
Tua Tagovailoa,15.1,MIA
Trevor Lawrence,15,JAC
Bryce Young,15,CAR
Matthew Stafford,15,LAR
Michael Penix Jr.,15,ATL
Cameron Ward,14.9,TEN
Sam Darnold,14.8,SEA
Geno Smith,14.8,LV
Tyler Shough,14.7,NO
Aaron Rodgers,14.6,PIT
Anthony Richardson Sr.,14.5,IND
Daniel Jones,14.5,IND
Russell Wilson,14.5,NYG
Joe Flacco,14.5,CLE
Kirk Cousins,14.4,ATL
Jaxson Dart,14.4,NYG
Shedeur Sanders,14.4,CLE
Teddy Bridgewater,14.4,FA
Malik Willis,14.3,GB
Jalen Milroe,14.3,SEA
Jameis Winston,14.3,NYG
Spencer Rattler,14.3,NO
Mason Rudolph,14.2,PIT
Kenny Pickett,14.2,CLE
Quinn Ewers,14.1,MIA
Gardner Minshew II,14.1,KC
Cooper Rush,14,BAL
Dillon Gabriel,14,CLE
Joe Milton III,14,DAL
Jacoby Brissett,14,ARI
Austin Reed,14,CHI
Mac Jones,14,SF
Max Brosmer,14,MIN
Marcus Mariota,14,WAS
Hendon Hooker,13.9,DET
Brian Hoyer,13.9,FA
Will Levis,13.9,TEN
Zach Wilson,13.8,MIA
Jaren Hall,13.7,FA
Shane Buechele,13.7,BUF
Will Howard,13.7,PIT
Josh Johnson,13.6,WAS
Reid Sinnett,13.6,FA
Tommy Mellott,13.5,LV
Jimmy Garoppolo,13.5,LAR
Stetson Bennett,13.5,LAR
Jake Browning,13.3,CIN
Deshaun Watson,13.2,CLE
Sam Howell,13.2,MIN
Tanner McKee,13.1,PHI
Ben DiNucci,13.1,FA
Drew Lock,13.1,SEA
Tyrod Taylor,13.1,NYJ
Aidan O'Connell,13,LV
Brett Rypien,13,MIN
