"Rank","Player","Team","Bye","POS","CBS","AVG"
"157","Breshad Perriman","","","WR53","167","161.3"
"158","Marcus Mariota","WAS","8","QB21","178","163.0"
"159","Cody Parkey","","","K7","161","148.6"
"160","Knile Davis","","","RB50","134","149.4"
"161","Ronnie Hillman","","","RB51","158","150.4"
"162","Kansas City Chiefs","DST","9","DST13","140","168.2"
"163","Cody Latimer","","","WR54","177","172.3"
"164","Alex Smith","","","QB22","170","156.8"
"165","Matt Bryant","","","K8","203","173.5"
"166","Heath Miller","","","TE18","146","158.6"
"167","Jameis Winston","CLE","11","QB23","171","161.0"
"168","Doug Baldwin","","","WR55","124","161.2"
"169","Carolina Panthers","DST","5","DST14","116","161.4"
"170","David Cobb","","","RB52","144","163.0"
"171","Steve Johnson","","","WR56","172","163.8"
"172","Dan Carpenter","","","K9","207","143.0"
"173","Derek Carr","NO","11","QB24","174","166.2"
"174","Matt Prater","ARI","9","K10","232","180.7"
"175","Dorial Green-Beckham","","","WR57","208","180.8"
"176","Sebastian Janikowski","","","K11","236","184.0"
"177","Tyler Lockett","SEA","9","WR58","","172.8"
"178","Richard Rodgers","","","TE19","190","176.0"
"179","Brian Quick","","","WR59","165","157.8"
"180","Kelvin Benjamin","","","WR60","","161.7"
"181","Markus Wheaton","","","WR61","151","167.5"
"182","Dallas Cowboys","DST","6","DST15","210","165.5"
"183","Jonas Gray","","","RB53","122","137.0"
"184","Nick Foles","","","QB25","179","166.0"
"185","Matt Jones","","","RB54","175","167.0"
"186","Charles Clay","","","TE20","176","168.8"
"187","Kenny Stills","","","WR62","194","169.0"
"188","Montee Ball","","","RB55","182","172.3"
"189","Minnesota Vikings","DST","5","DST16","225","199.3"
"190","Andy Dalton","CAR","5","QB26","163","175.3"
"191","Kevin White","","","WR63","","152.0"
"192","Brandon Coleman","","","WR64","197","177.3"
"193","Josh Hill","","","TE21","160","153.0"
"194","Fred Jackson","","","RB56","206","196.0"
"195","Marvin Jones Jr.","","","WR65","187","179.8"
"196","Rueben Randle","","","WR66","209","183.0"
"197","Terrance West","","","RB57","221","183.3"
"198","Cincinnati Bengals","DST","7","DST17","184","183.3"
"199","Donte Moncrief","","","WR67","","185.0"
"200","Pittsburgh Steelers","DST","11","DST18","218","187.5"
"201","Denard Robinson","","","RB58","219","188.5"
"202","Malcom Floyd","","","WR68","159","169.0"
"203","Connor Barth","","","K12","183","186.7"
"204","Larry Donnell","","","TE22","195","171.3"
"205","James Jones","","","WR69","","171.3"
"206","Detroit Lions","DST","9","DST19","215","193.3"
"207","Blair Walsh","","","K13","237","205.6"
"208","Ty Montgomery","II","","RB59","201","176.0"
"209","Phillip Dorsett II","DEN","7","WR70","205","195.0"
"210","San Francisco 49ers","DST","10","DST20","","178.0"
"211","New York Giants","DST","11","DST21","230","181.0"
"212","Brandon McManus","WAS","8","K14","173","199.8"
"213","Randy Bullock","","","K15","","148.0"
"214","Christine Michael","","","RB60","","184.3"
