"Rank","Player","Team","Bye","POS","AVG"
"135","Trey Benson","ARI","8","RB47","135.5"
"136","Michael Penix Jr.","ATL","5","QB22","137.5"
"137","Austin Ekeler","WAS","12","RB48","138.0"
"138","Marvin Mims Jr.","DEN","12","WR53","138.0"
"139","Jayden Higgins","HOU","6","WR54","138.5"
"140","Matthew Stafford","LAR","8","QB23","140.0"
"141","Ray Davis","BUF","7","RB49","142.0"
"142","Christian Kirk","HOU","6","WR55","143.0"
"143","Bryce Young","CAR","14","QB24","143.0"
"144","Rashid Shaheed","NO","11","WR56","143.5"
"145","Luther Burden III","CHI","5","WR57","144.0"
"146","Marquise Brown","KC","10","WR58","144.0"
"147","Tre Harris","LAC","12","WR59","144.5"
"148","Dallas Goedert","PHI","9","TE16","146.0"
"149","Kyle Pitts","ATL","5","TE17","147.0"
"150","Tyler Allgeier","ATL","5","RB50","152.5"
"151","Geno Smith","LV","8","QB25","153.0"
"152","Isaiah Likely","BAL","7","TE18","154.5"
"153","Jaylen Wright","MIA","12","RB51","155.5"
"154","Rico Dowdle","CAR","14","RB52","156.0"
"155","Sam Darnold","SEA","8","QB26","156.5"
"156","Rashod Bateman","BAL","7","WR60","157.0"
"157","Cedric Tillman","CLE","9","WR61","157.5"
"158","Cameron Ward","TEN","10","QB27","157.5"
"159","Braelon Allen","NYJ","9","RB53","158.5"
"160","Hunter Henry","NE","14","TE19","160.0"
"161","Jack Bech","LV","8","WR62","160.5"
"162","Zach Ertz","WAS","12","TE20","160.5"
"163","Nick Chubb","HOU","6","RB54","161.5"
"164","Jerome Ford","CLE","9","RB55","164.5"
"165","Aaron Rodgers","PIT","5","QB28","166.5"
"166","Brenton Strange","JAC","8","TE21","167.0"
"167","Adam Thielen","CAR","14","WR63","168.0"
"168","Denver Broncos","DST","12","DST1","169.5"
"169","Xavier Legette","CAR","14","WR64","170.0"
"170","Wan'Dale Robinson","NYG","14","WR65","170.5"
"171","Cade Otton","TB","9","TE22","170.5"
"172","Pat Freiermuth","PIT","5","TE23","171.5"
"173","Jalen McMillan","TB","9","WR66","174.0"
"174","Dylan Sampson","CLE","9","RB56","175.5"
"175","Romeo Doubs","GB","5","WR67","176.0"
"176","Mike Gesicki","CIN","10","TE24","176.5"
"177","Kyle Williams","NE","14","WR68","176.5"
"178","Justice Hill","BAL","7","RB57","178.0"
"179","DeAndre Hopkins","BAL","7","WR69","178.5"
"180","Roschon Johnson","CHI","5","RB58","182.0"
"181","Philadelphia Eagles","DST","9","DST2","183.5"
"182","Quentin Johnston","LAC","12","WR70","184.0"
"183","MarShawn Lloyd","GB","5","RB59","184.5"
"184","Anthony Richardson Sr.","IND","11","QB29","184.5"
"185","Chig Okonkwo","TEN","10","TE25","185.0"
"186","Mason Taylor","NYJ","9","TE26","186.0"
"187","Keenan Allen","","","WR71","186.0"
"188","Kareem Hunt","KC","10","RB60","186.5"
"189","Russell Wilson","NYG","14","QB30","188.0"
"190","Buffalo Bills","DST","7","DST3","192.5"
"191","Pittsburgh Steelers","DST","5","DST4","193.0"
"192","Houston Texans","DST","6","DST5","193.5"
"193","Baltimore Ravens","DST","7","DST6","194.0"
"194","Daniel Jones","IND","11","QB31","194.0"
"195","DeMario Douglas","NE","14","WR72","195.0"
"196","Alec Pierce","IND","11","WR73","195.5"
"197","Joshua Palmer","BUF","7","WR74","200.5"
"198","Minnesota Vikings","DST","6","DST7","201.5"
"199","Will Shipley","PHI","9","RB61","203.5"
"200","Dalton Schultz","HOU","6","TE27","204.5"
"201","Blake Corum","LAR","8","RB62","204.5"
"202","Jarquez Hunter","LAR","8","RB63","207.0"
"203","Tyler Shough","NO","11","QB32","207.0"
"204","Devin Neal","NO","11","RB64","209.5"
"205","Kansas City Chiefs","DST","10","DST8","212.5"
"206","DJ Giddens","IND","11","RB65","212.5"
"207","Darren Waller","MIA","12","TE28","215.5"
"208","Juwan Johnson","NO","11","TE29","215.5"
"209","Joe Flacco","CLE","9","QB33","220.0"
"210","Dallas Cowboys","DST","10","DST9","221.0"
"211","Brashard Smith","KC","10","RB66","221.5"
"212","Kyle Monangai","CHI","5","RB67","222.0"
"213","Jaxson Dart","NYG","14","QB34","223.5"
"214","Darius Slayton","NYG","14","WR75","224.0"
"215","Los Angeles Rams","DST","8","DST10","226.5"
"216","Jaylin Noel","HOU","6","WR76","226.5"
"217","Michael Wilson","ARI","8","WR77","227.0"
"218","Miles Sanders","DAL","10","RB68","227.5"
"219","Dyami Brown","JAC","8","WR78","229.0"
"220","Green Bay Packers","DST","5","DST11","229.5"
"221","New York Giants","DST","14","DST12","230.5"
"222","Detroit Lions","DST","8","DST13","231.0"
"223","Theo Johnson","NYG","14","TE30","232.0"
"224","Tampa Bay Buccaneers","DST","9","DST14","232.5"
"225","San Francisco 49ers","DST","14","DST15","233.0"
"226","Los Angeles Chargers","DST","12","DST16","233.5"
"227","Pat Bryant","DEN","12","WR79","234.0"
"228","Ollie Gordon II","MIA","12","RB69","236.5"
"229","Kirk Cousins","ATL","5","QB35","237.5"
"230","Calvin Austin III","PIT","5","WR80","237.5"
"231","New England Patriots","DST","14","DST17","239.0"
"232","Tyler Conklin","LAC","12","TE31","239.5"
"233","Elijah Mitchell","KC","10","RB70","240.0"
"234","Tahj Brooks","CIN","10","RB71","240.0"
"235","Raheem Mostert","LV","8","RB72","240.5"
"236","Shedeur Sanders","CLE","9","QB36","242.5"
"237","Noah Gray","KC","10","TE32","242.5"
"238","Dont'e Thornton Jr.","LV","8","WR81","242.5"
"239","Brandon Aubrey","DAL","10","K1","165.0"
"240","Amari Cooper","","","WR82","244.5"
"241","Ray-Ray McCloud III","ATL","5","WR83","244.5"
"242","Chicago Bears","DST","5","DST18","245.0"
"243","Cole Kmet","CHI","5","TE33","246.0"
"244","Zack Moss","CIN","10","RB73","247.5"
"245","Ja'Tavion Sanders","CAR","14","TE34","248.5"
"246","Cleveland Browns","DST","9","DST19","249.5"
"247","Cameron Dicker","LAC","12","K2","186.0"
"248","Andrei Iosivas","CIN","10","WR84","254.0"
"249","Keaton Mitchell","BAL","7","RB74","255.5"
"250","Seattle Seahawks","DST","8","DST20","256.5"
"251","Jalen Milroe","SEA","8","QB37","256.5"
"252","Mike Williams","","","WR85","256.5"
"253","Tyler Higbee","LAR","8","TE35","259.0"
"254","Jake Bates","DET","8","K3","198.0"
"255","New York Jets","DST","9","DST21","262.0"
"256","Dontayvion Wicks","GB","5","WR86","262.0"
"257","Diontae Johnson","CLE","9","WR87","262.0"
"258","Elijah Arroyo","SEA","8","TE36","262.5"
"259","Spencer Rattler","NO","11","QB38","263.0"
"260","Jalen Coker","CAR","14","WR88","264.5"
"261","Ka'imi Fairbairn","HOU","6","K4","208.0"
"262","Wil Lutz","DEN","12","K5","213.0"
"263","Jaleel McLaughlin","DEN","12","RB75","267.5"
"264","Chase McLaughlin","TB","9","K6","216.0"
"265","Jalen Royals","KC","10","WR89","269.0"
"266","Kenny Pickett","CLE","9","QB39","269.5"
"267","Jacory Croskey-Merritt","WAS","12","RB76","269.5"
"268","Arizona Cardinals","DST","8","DST22","271.0"
"269","Jordan James","SF","14","RB77","273.0"
"270","Sean Tucker","TB","9","RB78","273.0"
"271","Harrison Butker","KC","10","K7","226.0"
"272","Taysom Hill","NO","11","TE37","274.0"
"273","Washington Commanders","DST","12","DST23","275.0"
"274","Elic Ayomanor","TEN","10","WR90","275.0"
"275","Tyler Lockett","TEN","10","WR91","275.0"
"276","Audric Estime","DEN","12","RB79","275.0"
"277","Jason Sanders","MIA","12","K8","230.0"
"278","Tutu Atwell","LAR","8","WR92","276.0"
"279","Jalen Tolbert","DAL","10","WR93","276.0"
"280","Chris Boswell","PIT","5","K9","234.0"
"281","Terrance Ferguson","LAR","8","TE38","278.5"
"282","A.J. Dillon","PHI","9","RB80","236.0"
"283","Tre Tucker","LV","8","WR94","279.0"
"284","Brandon McManus","GB","5","K10","237.0"
"285","Harold Fannin Jr.","CLE","9","TE39","279.5"
"286","Roman Wilson","PIT","5","WR95","279.5"
"287","Cincinnati Bengals","DST","10","DST24","281.5"
"288","Adonai Mitchell","IND","11","WR96","283.0"
"289","Antonio Gibson","NE","14","RB81","245.0"
"290","Woody Marks","HOU","6","RB82","284.5"
"291","Indianapolis Colts","DST","11","DST25","248.0"
"292","Jake Elliott","PHI","9","K11","249.0"
"293","Kendre Miller","NO","11","RB83","287.0"
"294","Trevor Etienne","CAR","14","RB84","258.0"
"295","Evan McPherson","CIN","10","K12","260.0"
"296","Elijah Moore","BUF","7","WR97","291.0"
"297","Matt Gay","WAS","12","K13","261.0"
"298","Younghoe Koo","ATL","5","K14","265.0"
"299","Alexander Mattison","MIA","12","RB85","294.0"
"300","Devaughn Vele","DEN","12","WR98","294.5"
"301","Atlanta Falcons","DST","5","DST26","267.0"
