"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Saquon Barkley","PHI","10","RB1","1","","","1.0"
"2","Christian McCaffrey","SF","4","RB2","3","","","2.5"
"3","Alvin Kamara","NO","9","RB3","2","","","2.5"
"4","Ezekiel Elliott","DAL","8","RB4","4","","","4.0"
"5","DeAndre Hopkins","TEN","11","WR1","5","","","5.3"
"6","James Conner","ARI","12","RB5","6","","","6.5"
"7","Le'Veon Bell","","","RB6","8","","","7.5"
"8","Davante Adams","LV","","WR2","9","","","9.0"
"9","David Johnson","","","RB7","10","","","9.3"
"10","Nick Chubb","CLE","7","RB8","12","","","10.5"
"11","Todd Gurley II","","","RB9","15","","","11.8"
"12","Patrick Mahomes II","KC","12","QB1","7","","","12.0"
"13","Michael Thomas","","","WR3","13","","","12.8"
"14","Julio Jones","","","WR4","11","","","13.0"
"15","Dalvin Cook","","","RB10","19","","","16.3"
"16","Tyreek Hill","MIA","5","WR5","18","","","16.3"
"17","JuJu Smith-Schuster","NE","10","WR6","14","","","17.0"
"18","Odell Beckham Jr.","MIA","5","WR7","20","","","17.0"
"19","Joe Mixon","HOU","10","RB11","17","","","17.3"
"20","Travis Kelce","KC","12","TE1","16","","","18.8"
"21","Leonard Fournette","","","RB12","21","","","21.5"
"22","Mike Evans","TB","7 ","WR8","22","","","22.3"
"23","Antonio Brown","","","WR9","24","","","22.8"
"24","Adam Thielen","CAR","7","WR10","25","","","25.5"
"25","Damien Williams","","","RB13","28","","","26.0"
"26","Keenan Allen","CHI","6","WR11","27","","","26.8"
"27","Kerryon Johnson","","","RB14","23","","","27.0"
"28","Aaron Jones","MIN","12","RB15","33","","","28.0"
"29","Zach Ertz","WAS","10","TE2","26","","","31.3"
"30","Chris Carson ","","","RB16","29","","","31.8"
"31","George Kittle","SF","4","TE3","31","","","32.8"
"32","Josh Jacobs","GB","11","RB17","32","","","33.0"
"33","Devonta Freeman","","","RB18","30","","","33.3"
"34","Amari Cooper","CLE","7","WR12","36","","","33.3"
"35","Stefon Diggs","HOU","10","WR13","35","","","34.8"
"36","Derrick Henry","BAL","8","RB19","44","","","36.5"
"37","Deshaun Watson","CLE","7","QB2","34","","","38.0"
"38","David Montgomery","DET","5","RB20","37","","","39.0"
"39","Marlon Mack","ARI","12","RB21","43","","","39.0"
"40","Brandin Cooks","DAL","8","WR14","38","","","39.3"
"41","Mark Ingram","II","","RB22","42","","","42.5"
"42","Robert Woods","HOU","10","WR15","41","","","43.3"
"43","Julian Edelman","","","WR16","40","","","44.0"
"44","Sony Michel","","","RB23","45","","","44.8"
"45","T.Y. Hilton","","","WR17","51","","","45.3"
"46","Tyler Lockett","SEA","11","WR18","46","","","45.5"
"47","Aaron Rodgers","NYJ","4","QB3","39","","","46.5"
"48","Melvin Gordon","III","","RB24","49","","","47.5"
"49","Kenny Golladay","","","WR19","47","","","48.5"
"50","Chris Godwin","TB","7","WR20","50","","","49.0"
"51","Cooper Kupp","LAR","9","WR21","48","","","50.5"
"52","Phillip Lindsay","","","RB25","53","","","51.5"
"53","Calvin Ridley","TEN","11 ","WR22","55","","","54.8"
"54","Baker Mayfield","TB","7","QB4","56","","","56.0"
"55","O.J. Howard","","","TE4","54","","","56.5"
"56","Tevin Coleman","","","RB26","62","","","57.0"
"57","Tyler Boyd","","","WR23","59","","","58.0"
"58","Austin Ekeler","WAS","10","RB27","63","","","60.3"
"59","Mike Williams","NYJ","4","WR24","74","","","60.8"
"60","A.J. Green ","","","WR25","69","","","62.5"
"61","Evan Engram","JAC","10 ","TE5","57","","","63.8"
"62","Matt Ryan","","","QB5","52","","","64.3"
"63","Alshon Jeffery ","","","WR26","68","","","64.5"
"64","James White","","","RB28","64","","","64.8"
"65","Josh Gordon","","","WR27","71","","","67.3"
"66","Hunter Henry","NE","10","TE6","67","","","68.3"
"67","D.J. Moore","CHI","6","WR28","76","","","68.8"
"68","Miles Sanders","CAR","7","RB29","73","","","69.0"
"69","Jarvis Landry","","","WR29","78","","","71.0"
"70","Duke Johnson","","","RB30","61","","","71.3"
"71","Drew Brees","","","QB6","65","","","72.3"
"72","Carson Wentz","KC","12","QB7","72","","","72.5"
"73","Derrius Guice ","","","RB31","82","","","73.8"
"74","Kenyan Drake","","","RB32","58","","","74.0"
"75","Jared Cook","","","TE7","60","","","74.3"
"76","Tarik Cohen","","","RB33","77","","","74.5"
"77","Allen Robinson","NYG","11","WR30","88","","","75.3"
"78","Robbie Chosen","","","WR31","83","","","77.3"
"79","Jared Goff","DET","5","QB8","70","","","79.0"
"80","Dede Westbrook","","","WR32","75","","","80.0"
"81","Will Fuller","","","WR33","87","","","81.3"
"82","Russell Wilson","PIT","7","QB9","84","","","83.0"
"83","Latavius Murray","","","RB34","91","","","85.3"
"84","Chicago Bears","DST","6","DST1","85","","","89.0"
"85","Vance McDonald","","","TE8","89","","","89.3"
"86","Sammy Watkins","","","WR34","95","","","89.5"
"87","Jordan Howard","","","RB35","109","","","89.8"
"88","Emmanuel Sanders","","","WR35","79","","","91.0"
"89","Cam Newton ","","","QB10","81","","","91.0"
"90","Christian Kirk","JAC","10","WR36","86","","","91.3"
"91","Sterling Shepard","","","WR37","90","","","93.5"
"92","Corey Davis","","","WR38","114","","","95.5"
"93","Marvin Jones","","","WR39","98","","","97.0"
"94","LeSean McCoy","","","RB36","107","","","98.3"
"95","Eric Ebron ","","","TE9","102","","","99.0"
"96","Ben Roethlisberger ","","","QB11","66","","","99.5"
"97","Matt Breida","","","RB37","93","","","99.8"
"98","Curtis Samuel","BUF","6","WR40","100","","","100.0"
"99","Devin Singletary","NYG","11","RB38","96","","","100.8"
"100","Rashaad Penny","CAR","7 ","RB39","104","","","101.3"
