"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Jonathan Taylor","IND","14 ","RB1","","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB2","","3","2","2.5"
"3","Austin Ekeler","WAS","14","RB3","","4","3","3.5"
"4","Derrick Henry","BAL","10","RB4","","2","8","5.0"
"5","Dalvin Cook","","","RB5","","5","7","6.0"
"6","Cooper Kupp","LAR","7 ","WR1","","7","5","6.0"
"7","Najee Harris","PIT","9","RB6","","6","6","6.0"
"8","Justin Jefferson","MIN","7","WR2","","9","4","6.5"
"9","Joe Mixon","HOU","6","RB7","","8","11","9.5"
"10","Ja'Marr Chase","CIN","10","WR3","","13","9","11.0"
"11","Alvin Kamara","NO","14","RB8","","12","12","12.0"
"12","D'Andre Swift","CHI","14","RB9","","15","10","12.5"
"13","Davante Adams","LV","6","WR4","","11","15","13.0"
"14","Nick Chubb","CLE","9","RB10","","10","19","14.5"
"15","Stefon Diggs","HOU","6","WR5","","16","13","14.5"
"16","Travis Kelce","KC","8","TE1","","14","17","15.5"
"17","Saquon Barkley","PHI","7","RB11","","18","14","16.0"
"18","Javonte Williams","DEN","9 ","RB12","","22","16","19.0"
"19","Aaron Jones","MIN","7","RB13","","17","23","20.0"
"20","CeeDee Lamb","DAL","9","WR6","","19","21","20.0"
"21","Josh Allen","BUF","7","QB1","","20","20","20.0"
"22","Deebo Samuel Sr.","SF","9","WR7","","23","18","20.5"
"23","Tyreek Hill","MIA","11","WR8","","21","24","22.5"
"24","Leonard Fournette","","","RB14","","24","22","23.0"
"25","Mark Andrews","BAL","10","TE2","","25","25","25.0"
"26","Mike Evans","TB","11","WR9","","26","28","27.0"
"27","James Conner","ARI","13","RB15","","28","26","27.0"
"28","Ezekiel Elliott","DAL","9","RB16","","27","27","27.0"
"29","A.J. Brown","PHI","7","WR10","","29","30","29.5"
"30","Patrick Mahomes II","KC","8","QB2","","30","31","30.5"
"31","Kyle Pitts","ATL","14 ","TE3","","32","32","32.0"
"32","Keenan Allen","CHI","14","WR11","","31","34","32.5"
"33","Michael Pittman Jr.","IND","14","WR12","","38","29","33.5"
"34","Justin Herbert","LAC","8","QB3","","33","35","34.0"
"35","Tee Higgins","CIN","10","WR13","","34","37","35.5"
"36","Travis Etienne Jr.","JAC","11","RB17","","40","33","36.5"
"37","Cam Akers","MIN","7","RB18","","35","38","36.5"
"38","David Montgomery","DET","6","RB19","","37","36","36.5"
