"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"115","Stephen Hauschka","","","K2","141","","","119.8"
"116","Kansas City Chiefs","DST","5","DST6","120","","","119.8"
"117","Corey Coleman","","","WR44","135","","","124.5"
"118","Charles Sims","","","RB39","102","","","125.0"
"119","Torrey Smith","","","WR45","123","","","125.3"
"120","Martellus Bennett","","","TE13","101","","","125.5"
"121","Andy Dalton","CAR","7","QB16","110","","","125.7"
"122","Matthew Stafford","LAR","8","QB17","107","","","126.0"
"123","Justin Forsett","","","RB40","116","","","127.8"
"124","Marcus Mariota","WAS","9","QB18","121","","","130.0"
"125","Dion Lewis","","","RB41","143","","","130.5"
"126","Matt Ryan","","","QB19","127","","","132.2"
"127","Spencer Ware","","","RB42","124","","","133.8"
"128","Jason Witten","","","TE14","115","","","134.2"
"129","Bilal Powell","","","RB43","145","","","134.7"
"130","Theo Riddick","","","RB44","142","","","134.8"
"131","Vincent Jackson","","","WR46","136","","","135.8"
"132","Travis Benjamin","","","WR47","139","","","136.2"
"133","Markus Wheaton","","","WR48","137","","","137.0"
"134","Justin Tucker","BAL","8","K3","150","","","137.0"
"135","Graham Gano","NYG","8","K4","151","","","139.0"
"136","Minnesota Vikings","DST","6","DST7","134","","","142.8"
"137","New England Patriots","DST","9","DST8","171","","","144.5"
"138","Tevin Coleman","","","RB45","152","","","145.3"
"139","Dak Prescott","DAL","7","QB20","155","","","146.5"
"140","Christine Michael","","","RB46","126","","","147.2"
"141","Los Angeles Rams","DST","8","DST9","168","","","148.0"
"142","Kamar Aiken","","","WR49","140","","","150.7"
"143","Devin Funchess","","","WR50","133","","","152.0"
"144","Terrance West","","","RB47","138","","","152.7"
"145","Mason Crosby","NYG","8","K5","129","","","153.2"
"146","Michael Thomas","","","WR51","159","","","155.0"
"147","Dwayne Allen","","","TE15","131","","","157.8"
"148","Dan Bailey","","","K6","191","","","158.3"
"149","Chris Boswell","PIT","8","K7","147","","","158.5"
"150","Tony Romo","","","QB21","130","","","130.6"
"151","James White","","","RB48","128","","","160.3"
"152","Ted Ginn Jr.","","","WR52","188","","","160.3"
"153","Darren Sproles","","","RB49","162","","","162.0"
"154","Alfred Morris","","","RB50","170","","","162.3"
"155","William Fuller","V","","WR53","157","","","163.2"
"156","Jared Cook","","","TE16","144","","","163.7"
"157","Steve Smith","","","WR54","153","","","165.0"
"158","Chandler Catanzaro","","","K8","176","","","166.3"
"159","Devontae Booker","","","RB51","132","","","167.2"
"160","James Starks","","","RB52","160","","","167.3"
"161","Brock Osweiler","","","QB22","156","","","167.7"
"162","Zach Miller","","","TE17","158","","","167.7"
"163","Victor Cruz","","","WR55","184","","","168.3"
"164","Tajae Sharpe","","","WR56","148","","","169.8"
"165","Ryan Tannehill","","","QB23","163","","","172.7"
"166","Mike Wallace","","","WR57","180","","","173.0"
"167","Mohamed Sanu Sr.","","","WR58","161","","","173.8"
"168","Adam Vinatieri","","","K9","193","","","174.2"
"169","Brandon McManus","WAS","9","K10","192","","","175.8"
"170","Pittsburgh Steelers","DST","8","DST10","125","","","152.6"
"171","Blair Walsh","","","K11","214","","","180.0"
"172","Sebastian Janikowski","","","K12","223","","","180.2"
"173","Robert Griffin","III","","QB24","182","","","180.2"
"174","Ladarius Green","","","TE18","173","","","156.0"
"175","Jerick McKinnon","","","RB53","187","","","183.2"
"176","Cairo Santos","CHI","9","K13","222","","","184.3"
"177","Ryan Fitzpatrick","","","QB25","164","","","161.0"
"178","Alex Smith","","","QB26","166","","","185.3"
"179","Tyler Boyd","","","WR59","165","","","186.0"
"180","DeAndre Washington","","","RB54","172","","","186.2"
"181","Pierre Garcon","","","WR60","202","","","187.2"
"182","Eric Ebron","","","TE19","178","","","164.8"
"183","Terrelle Pryor Sr.","","","WR61","211","","","188.2"
"184","Kyle Rudolph","","","TE20","199","","","189.2"
"185","Las Vegas Raiders","DST","","DST11","212","","","189.7"
"186","Cincinnati Bengals","DST","9","DST12","169","","","167.4"
"187","C.J. Prosise","","","RB55","213","","","169.4"
"188","Kenneth Dixon","","","RB56","185","","","194.0"
"189","Chris Johnson","","","RB57","179","","","172.6"
"190","Green Bay Packers","DST","4","DST13","146","","","179.2"
"191","Davante Adams","LV","","WR62","","","","181.2"
"192","New York Jets","DST","11","DST14","177","","","181.4"
"193","Marshawn Lynch","","","RB58","","","","151.8"
"194","Darren McFadden","","","RB59","","","","183.2"
"195","Jordan Howard","","","RB60","220","","","183.6"
"196","Laquon Treadwell","","","WR63","175","","","185.8"
"197","Jay Cutler","","","QB27","183","","","187.8"
"198","Chris Hogan","","","WR64","181","","","208.2"
"199","Dorial Green-Beckham","","","WR65","194","","","191.4"
"200","Paul Perkins","","","RB61","224","","","192.2"
"201","Josh Doctson","","","WR66","206","","","192.8"
"202","New York Giants","DST","8","DST15","225","","","193.0"
"203","Philadelphia Eagles","DST","4","DST16","197","","","193.2"
