"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","David Johnson","","","RB1","1","","","1.0"
"2","Le'Veon Bell","","","RB2","2","","","2.0"
"3","Antonio Brown","","","WR1","3","","","3.2"
"4","Julio Jones","","","WR2","4","","","3.8"
"5","LeSean McCoy","","","RB3","5","","","5.6"
"6","Odell Beckham Jr.","MIA","1","WR3","8","","","6.2"
"7","Devonta Freeman","","","RB4","6","","","7.2"
"8","Melvin Gordon","III","","RB5","9","","","8.4"
"9","Mike Evans","TB","1","WR4","10","","","8.8"
"10","A.J. Green","","","WR5","15","","","11.4"
"11","DeMarco Murray","","","RB6","13","","","12.0"
"12","Jordy Nelson","","","WR6","11","","","12.4"
"13","Jay Ajayi","","","RB7","14","","","12.8"
"14","Ezekiel Elliott","DAL","6","RB8","18","","","13.8"
"15","Jordan Howard","","","RB9","12","","","14.0"
"16","Aaron Rodgers","NYJ","11","QB1","7","","","15.6"
"17","Michael Thomas","","","WR7","17","","","16.2"
"18","Todd Gurley","II","","RB10","21","","","19.2"
"19","Dez Bryant","","","WR8","23","","","19.6"
"20","Rob Gronkowski","","","TE1","19","","","19.6"
"21","Tom Brady","","","QB2","16","","","21.6"
"22","Brandin Cooks","DAL","6","WR9","27","","","23.6"
"23","Amari Cooper","CLE","9","WR10","25","","","24.2"
"24","Leonard Fournette","","","RB11","28","","","24.2"
"25","Doug Baldwin","","","WR11","26","","","25.4"
"26","Marshawn Lynch","","","RB12","33","","","27.2"
"27","Christian McCaffrey","SF","11","RB13","20","","","27.2"
"28","T.Y. Hilton","","","WR12","32","","","28.4"
"29","Lamar Miller","","","RB14","30","","","28.8"
"30","Isaiah Crowell","","","RB15","31","","","29.6"
"31","Drew Brees","","","QB3","22","","","33.0"
"32","DeAndre Hopkins","TEN","8","WR13","42","","","33.4"
"33","Dalvin Cook","","","RB16","29","","","35.0"
"34","Terrelle Pryor Sr.","","","WR14","34","","","36.0"
"35","Carlos Hyde","","","RB17","39","","","36.2"
"36","Travis Kelce","KC","10","TE2","35","","","37.2"
"37","Demaryius Thomas","","","WR15","45","","","38.0"
"38","Alshon Jeffery","","","WR16","44","","","39.2"
"39","Joe Mixon","HOU","7","RB18","43","","","39.6"
